iter	Passed	Remaining
313	751	1641
314	753	1639
315	756	1636
316	758	1634
317	761	1632
318	763	1630
319	765	1627
320	768	1625
321	770	1622
322	773	1620
323	775	1617
324	777	1615
325	780	1613
326	782	1610
327	784	1607
328	787	1605
329	789	1603
330	791	1600
331	794	1598
332	796	1595
333	799	1593
334	801	1591
335	803	1588
336	806	1585
337	808	1583
338	810	1580
339	813	1578
340	815	1576
341	818	1574
342	820	1571
343	822	1569
344	825	1566
345	827	1564
346	829	1561
347	832	1559
348	834	1556
349	836	1554
350	839	1551
351	841	1549
352	843	1546
353	846	1544
354	848	1542
355	851	1539
356	853	1537
357	855	1534
358	858	1532
359	860	1529
360	862	1527
361	865	1524
362	867	1522
363	869	1520
364	872	1517
365	874	1515
366	877	1512
367	879	1510
368	881	1507
369	884	1505
370	886	1502
371	888	1500
372	891	1497
373	893	1495
374	895	1492
375	898	1490
376	900	1488
377	902	1485
378	905	1483
379	907	1481
380	910	1478
381	912	1476
382	915	1474
383	917	1471
384	920	1469
385	922	1467
386	924	1465
387	927	1462
388	929	1460
389	932	1457
390	934	1455
391	936	1452
392	939	1450
393	941	1448
394	943	1445
395	946	1443
396	948	1440
397	950	1438
398	953	1435
399	955	1433
400	958	1431
401	960	1428
402	962	1426
403	965	1424
404	967	1421
405	970	1419
406	972	1416
407	974	1414
408	977	1411
409	979	1409
410	981	1407
411	984	1404
412	986	1402
413	989	1399
414	991	1397
415	993	1395
416	995	1392
417	998	1390
418	1000	1387
419	1003	1385
420	1005	1382
421	1007	1380
422	1010	1377
423	1012	1375
424	1015	1373
425	1017	1371
426	1019	1368
427	1022	1366
428	1024	1363
429	1027	1361
430	1029	1359
431	1031	1356
432	1034	1354
433	1036	1351
434	1039	1349
435	1041	1347
436	1043	1344
437	1046	1342
438	1048	1339
439	1050	1337
440	1053	1335
441	1055	1332
442	1058	1330
443	1060	1328
444	1063	1325
445	1065	1323
446	1067	1321
447	1070	1318
448	1072	1316
449	1075	1313
450	1077	1311
451	1079	1309
452	1082	1306
453	1084	1304
454	1086	1301
455	1089	1299
456	1091	1296
457	1093	1294
458	1096	1292
459	1098	1289
460	1100	1287
461	1103	1284
462	1105	1282
463	1108	1280
464	1110	1277
465	1112	1275
466	1115	1273
467	1117	1270
468	1120	1268
469	1122	1266
470	1125	1264
471	1128	1261
472	1130	1259
473	1132	1256
474	1135	1254
475	1137	1252
476	1139	1249
477	1142	1247
478	1144	1244
479	1146	1242
480	1149	1240
481	1151	1237
482	1153	1235
483	1156	1232
484	1158	1230
485	1161	1228
486	1163	1225
487	1166	1223
488	1168	1221
489	1170	1218
490	1173	1216
491	1175	1213
492	1178	1211
493	1180	1209
494	1182	1206
495	1185	1204
496	1187	1201
497	1189	1199
498	1192	1196
499	1194	1194
500	1196	1192
501	1199	1189
502	1201	1187
503	1204	1184
504	1206	1182
505	1208	1180
506	1211	1177
507	1213	1175
508	1216	1173
509	1218	1170
510	1221	1168
511	1223	1166
512	1226	1163
513	1228	1161
514	1231	1159
515	1233	1156
516	1235	1154
517	1238	1152
518	1240	1149
519	1243	1147
520	1245	1145
521	1247	1142
522	1250	1140
523	1252	1137
524	1255	1135
525	1257	1133
526	1259	1130
527	1262	1128
528	1264	1125
529	1266	1123
530	1269	1120
531	1271	1118
532	1273	1116
533	1276	1113
534	1278	1111
535	1280	1108
536	1283	1106
537	1285	1103
538	1287	1101
539	1290	1099
540	1292	1096
541	1295	1094
542	1297	1092
543	1299	1089
544	1302	1087
545	1304	1084
546	1307	1082
547	1309	1079
548	1311	1077
549	1314	1075
550	1316	1072
551	1318	1070
552	1321	1068
553	1323	1065
554	1326	1063
555	1328	1061
556	1331	1058
557	1333	1056
558	1336	1054
559	1338	1051
560	1340	1049
561	1343	1046
562	1345	1044
563	1348	1042
564	1350	1039
565	1353	1037
566	1355	1035
567	1357	1032
568	1360	1030
569	1362	1028
570	1365	1025
571	1367	1023
572	1369	1020
573	1372	1018
574	1374	1016
575	1377	1013
576	1379	1011
577	1381	1008
578	1384	1006
579	1386	1004
580	1389	1001
581	1391	999
582	1393	996
583	1396	994
584	1398	992
585	1400	989
586	1403	987
587	1405	984
588	1407	982
589	1410	980
590	1412	977
591	1415	975
592	1417	972
593	1419	970
594	1422	968
595	1424	965
596	1427	963
597	1430	961
598	1432	959
599	1435	956
600	1437	954
601	1439	951
602	1442	949
603	1444	947
604	1447	944
605	1449	942
606	1452	940
607	1454	937
608	1456	935
609	1459	932
610	1461	930
611	1464	928
612	1466	925
613	1468	923
614	1471	920
615	1473	918
616	1475	916
617	1478	913
618	1480	911
619	1483	909
620	1485	906
621	1487	904
622	1490	901
623	1492	899
624	1494	896
625	1497	894
626	1499	892
627	1502	889
628	1504	887
629	1506	884
630	1509	882
631	1511	880
632	1513	877
633	1516	875
634	1518	872
635	1521	870
636	1523	868
637	1525	865
638	1528	863
639	1530	861
640	1533	858
641	1535	856
642	1538	854
643	1540	851
644	1543	849
645	1545	846
646	1547	844
647	1550	842
648	1552	839
649	1554	837
650	1557	834
651	1559	832
652	1562	830
653	1564	827
654	1566	825
655	1569	822
656	1571	820
657	1573	818
658	1576	815
659	1578	813
660	1581	810
661	1583	808
662	1585	806
663	1588	803
664	1590	801
665	1593	798
666	1595	796
667	1597	794
668	1600	791
669	1602	789
670	1604	786
671	1607	784
672	1609	782
673	1612	779
674	1614	777
675	1616	774
676	1619	772
677	1621	770
678	1623	767
679	1626	765
680	1628	762
681	1631	760
682	1633	758
683	1636	755
684	1638	753
685	1641	751
686	1644	749
687	1646	746
688	1649	744
689	1651	742
690	1653	739
691	1656	737
692	1658	734
693	1660	732
694	1663	729
695	1665	727
696	1668	725
697	1670	722
698	1672	720
699	1675	717
700	1677	715
701	1679	713
702	1682	710
703	1684	708
704	1686	705
705	1689	703
706	1691	701
707	1694	698
708	1696	696
709	1698	693
710	1701	691
711	1703	688
712	1705	686
713	1708	684
714	1710	681
715	1712	679
716	1715	676
717	1717	674
718	1719	672
719	1722	669
720	1724	667
721	1726	664
722	1729	662
723	1731	660
724	1734	657
725	1736	655
726	1739	653
727	1741	650
728	1743	648
729	1746	645
730	1748	643
731	1751	641
732	1753	638
733	1755	636
734	1758	633
735	1760	631
736	1762	629
737	1765	626
738	1767	624
739	1770	621
740	1772	619
741	1774	617
742	1777	614
743	1779	612
744	1781	609
745	1784	607
746	1786	605
747	1789	602
748	1791	600
749	1793	597
750	1796	595
751	1798	593
752	1801	590
753	1803	588
754	1805	586
755	1808	583
756	1810	581
757	1813	578
758	1815	576
759	1817	574
760	1820	571
761	1822	569
762	1824	566
763	1827	564
764	1829	562
765	1831	559
766	1834	557
767	1836	554
768	1839	552
769	1842	550
770	1844	547
771	1846	545
772	1849	542
773	1851	540
774	1853	538
775	1856	535
776	1858	533
777	1860	531
778	1863	528
779	1865	526
780	1867	523
781	1870	521
782	1872	518
783	1874	516
784	1877	514
785	1879	511
786	1882	509
787	1884	507
788	1887	504
789	1889	502
790	1891	499
791	1894	497
792	1896	495
793	1898	492
794	1901	490
795	1903	487
796	1906	485
797	1908	483
798	1910	480
799	1913	478
800	1915	475
801	1918	473
802	1920	471
803	1922	468
804	1925	466
805	1927	463
806	1930	461
807	1932	459
808	1934	456
809	1937	454
810	1939	452
811	1942	449
812	1944	447
813	1947	444
814	1949	442
815	1952	440
816	1954	437
817	1957	435
818	1959	433
819	1961	430
820	1964	428
821	1966	425
822	1969	423
823	1971	421
824	1973	418
825	1976	416
826	1978	413
827	1980	411
828	1983	409
829	1985	406
830	1988	404
831	1990	401
832	1992	399
833	1995	397
834	1997	394
835	2000	392
836	2002	389
837	2004	387
838	2007	385
839	2009	382
840	2012	380
841	2014	378
842	2016	375
843	2019	373
844	2021	370
845	2024	368
846	2026	366
847	2028	363
848	2031	361
849	2033	358
850	2036	356
851	2038	354
852	2041	351
853	2043	349
854	2046	347
855	2048	344
856	2051	342
857	2053	339
858	2056	337
859	2058	335
860	2061	332
861	2063	330
862	2065	327
863	2068	325
864	2070	323
865	2073	320
866	2075	318
867	2077	315
868	2080	313
869	2082	311
870	2084	308
871	2087	306
872	2089	303
873	2091	301
874	2094	299
875	2096	296
876	2098	294
877	2101	291
878	2103	289
879	2105	287
880	2108	284
881	2110	282
882	2113	279
883	2115	277
884	2117	275
885	2120	272
886	2122	270
887	2124	268
888	2127	265
889	2129	263
890	2132	260
891	2134	258
892	2136	256
893	2139	253
894	2141	251
895	2143	248
896	2146	246
897	2148	244
898	2151	241
899	2154	239
900	2156	236
901	2158	234
902	2161	232
903	2163	229
904	2165	227
905	2168	224
906	2170	222
907	2173	220
908	2175	217
909	2177	215
910	2180	212
911	2182	210
912	2184	208
913	2187	205
914	2189	203
915	2191	201
916	2194	198
917	2196	196
918	2198	193
919	2201	191
920	2203	189
921	2206	186
922	2208	184
923	2210	181
924	2213	179
925	2215	177
926	2217	174
927	2220	172
928	2222	169
929	2225	167
930	2227	165
931	2229	162
932	2232	160
933	2234	157
934	2236	155
935	2239	153
936	2241	150
937	2244	148
938	2246	145
939	2248	143
940	2251	141
941	2253	138
942	2256	136
943	2258	134
944	2261	131
945	2263	129
946	2265	126
947	2268	124
948	2270	122
949	2272	119
950	2275	117
951	2277	114
952	2280	112
953	2282	110
954	2284	107
955	2287	105
956	2289	102
957	2292	100
958	2294	98
959	2296	95
960	2299	93
961	2301	90
962	2303	88
963	2306	86
964	2308	83
965	2311	81
966	2313	78
967	2315	76
968	2318	74
969	2320	71
970	2322	69
971	2325	66
972	2327	64
973	2330	62
974	2332	59
975	2335	57
976	2337	55
977	2339	52
978	2342	50
979	2344	47
980	2347	45
981	2349	43
982	2352	40
983	2354	38
984	2357	35
985	2360	33
986	2362	31
987	2364	28
988	2367	26
989	2369	23
990	2372	21
991	2374	19
992	2377	16
993	2379	14
994	2381	11
995	2384	9
996	2386	7
997	2388	4
998	2391	2
999	2393	0
