iter	Logloss
0	0.6861505412
1	0.6813151416
2	0.6749788767
3	0.6698841335
4	0.6662119246
5	0.6621944654
6	0.6581906024
7	0.6539637202
8	0.6491847349
9	0.6459115527
10	0.642089785
11	0.638748148
12	0.6338511932
13	0.6300305754
14	0.6272921119
15	0.6247258002
16	0.621433678
17	0.6187351917
18	0.6164728004
19	0.6130249638
20	0.6097016581
21	0.6069891696
22	0.6049136086
23	0.6029389035
24	0.5999181654
25	0.597922085
26	0.5958407067
27	0.5940234747
28	0.5910988575
29	0.5888252375
30	0.5864059142
31	0.5836017017
32	0.5817037715
33	0.57909268
34	0.5775211278
35	0.5762062135
36	0.5744160388
37	0.5718144174
38	0.569847153
39	0.5680415556
40	0.5659359611
41	0.564106418
42	0.5629205668
43	0.5611119931
44	0.5591768254
45	0.5569817728
46	0.5547505312
47	0.5530560376
48	0.5515607192
49	0.5494068951
50	0.5482383605
51	0.5459530044
52	0.5445715293
53	0.5427667436
54	0.5408290731
55	0.5397680572
56	0.5382350954
57	0.5364523275
58	0.5350924644
59	0.5341864527
60	0.5325669415
61	0.5313085092
62	0.5296900126
63	0.5281049656
64	0.526929227
65	0.5260218624
66	0.524360886
67	0.5233306815
68	0.5224165526
69	0.5210240178
70	0.52006609
71	0.5192459174
72	0.5177097763
73	0.5169497722
74	0.5152693822
75	0.5145959275
76	0.5133021855
77	0.5125382243
78	0.5119663357
79	0.5110927926
80	0.5099804694
81	0.5091250209
82	0.5083887934
83	0.5076761056
84	0.506689903
85	0.5061699304
86	0.5049134598
87	0.5041879537
88	0.5033688633
89	0.5024551065
90	0.5015857235
91	0.5009966535
92	0.5003635817
93	0.4994019335
94	0.4987355136
95	0.4981165116
96	0.496857944
97	0.4960263397
98	0.4953255909
99	0.4944040213
100	0.4936286622
101	0.4927547133
102	0.4921929373
103	0.4914388858
104	0.4906483071
105	0.4895876632
106	0.4891842397
107	0.4885758576
108	0.4871335376
109	0.4855550519
110	0.4846685552
111	0.4830405548
112	0.4820192792
113	0.4812864338
114	0.4803284722
115	0.4796802822
116	0.4791149549
117	0.4785963691
118	0.4780754495
119	0.4774436629
120	0.4769346148
121	0.4758822233
122	0.475231057
123	0.4748105537
124	0.4742573007
125	0.4731831282
126	0.4723459095
127	0.4715177888
128	0.4708861037
129	0.470372794
130	0.4695720349
131	0.4691253875
132	0.4680061309
133	0.4676918272
134	0.4667995132
135	0.4659964543
136	0.4655370561
137	0.4649164983
138	0.4638662038
139	0.4630656815
140	0.4623799157
141	0.4616257966
142	0.461329486
143	0.4606641146
144	0.4596294795
145	0.4590884361
146	0.4585463781
147	0.4578957867
148	0.4571591533
149	0.4563077296
150	0.4556299119
151	0.455309385
152	0.45428838
153	0.4539488454
154	0.4534425706
155	0.4529703879
156	0.4518431833
157	0.4511678007
158	0.4504201753
159	0.4500079582
160	0.449118147
161	0.4482098354
162	0.4477174612
163	0.4467064674
164	0.4460398446
165	0.4455131754
166	0.4449633723
167	0.4444874692
168	0.4437078486
169	0.4431155656
170	0.4423511309
171	0.4416228176
172	0.4408852372
173	0.4401118736
174	0.4395808414
175	0.4388631142
176	0.4383572453
177	0.437834567
178	0.437548944
179	0.4370192647
180	0.4365081196
181	0.4360917763
182	0.4356139792
183	0.4349581117
184	0.434488398
185	0.4342297645
186	0.4329232718
187	0.4325890811
188	0.4319437659
189	0.4315396659
190	0.4307610938
191	0.430417636
192	0.4298587348
193	0.4291438825
194	0.4283201924
195	0.4277007169
196	0.4273307767
197	0.4267545251
198	0.4263342585
199	0.4258951871
200	0.4250870212
201	0.4244254378
202	0.4239338077
203	0.4235996508
204	0.4225333249
205	0.4219561601
206	0.4213596156
207	0.4208768467
208	0.4204000305
209	0.4199879149
210	0.4195754949
211	0.4191197495
212	0.418342767
213	0.4175761
214	0.4172590906
215	0.416083352
216	0.4155539771
217	0.4150072855
218	0.4142194463
219	0.4139298323
220	0.4132878316
221	0.4129410931
222	0.41232456
223	0.4115731804
224	0.4111510874
225	0.4105065501
226	0.4093394698
227	0.4088713119
228	0.4079939132
229	0.4071786447
230	0.4069328297
231	0.4066057414
232	0.4058545986
233	0.4055921095
234	0.4046082406
235	0.4043295172
236	0.4039543347
237	0.4032488509
238	0.402901808
239	0.4024671334
240	0.4013959372
241	0.4009696504
242	0.4002963986
243	0.3999063008
244	0.3994161588
245	0.3989932542
246	0.3985122779
247	0.3977906274
248	0.3974381392
249	0.3969209062
250	0.3964949576
251	0.3959696074
252	0.3954338064
253	0.3951310359
254	0.3945213347
255	0.3938505519
256	0.39355069
257	0.3931662066
258	0.392154029
259	0.3914230438
260	0.3908635677
261	0.389484663
262	0.3885721576
263	0.3881094111
264	0.387521322
265	0.387083502
266	0.3866177792
267	0.3856009004
268	0.385147049
269	0.3846067159
270	0.3843243059
271	0.3837336463
272	0.3829338005
273	0.3823149675
274	0.3817715905
275	0.381235113
276	0.3808040235
277	0.3802788425
278	0.379695353
279	0.3789050787
280	0.3784518022
281	0.377929124
282	0.3775427466
283	0.3771224461
284	0.3768272178
285	0.3762696357
286	0.3758078024
287	0.3753517526
288	0.3750249688
289	0.3745862356
290	0.3738885308
291	0.3735893453
292	0.3728350909
293	0.3724940006
294	0.3720366994
295	0.3715865683
296	0.3710401812
297	0.370279433
298	0.3695426305
299	0.3688354556
300	0.3683220783
301	0.368031585
302	0.3676543394
303	0.3671251336
304	0.3662926499
305	0.3655753286
306	0.3651634498
307	0.3642145861
308	0.3633142226
309	0.3626078256
310	0.362058868
311	0.361068945
312	0.3603628187
313	0.3598702078
314	0.3586648415
315	0.3582529288
316	0.3574961039
317	0.3565524826
318	0.35630545
319	0.3557732002
320	0.3550287879
321	0.3544953206
322	0.3536092974
323	0.3530864838
324	0.3521628849
325	0.3514502309
326	0.3507814774
327	0.3499558595
328	0.3491221582
329	0.3484763695
330	0.3477036485
331	0.3470652667
332	0.3462668414
333	0.3455853371
334	0.3447276902
335	0.3441994314
336	0.3435788059
337	0.3429259823
338	0.3423968103
339	0.3414930308
340	0.3408793049
341	0.340454912
342	0.3402389276
343	0.3397333631
344	0.3393282485
345	0.3387016028
346	0.3380991733
347	0.3377303155
348	0.3372906353
349	0.336693482
350	0.3360812781
351	0.3353676771
352	0.3348792263
353	0.3344052172
354	0.3339586036
355	0.3329982745
356	0.3324061944
357	0.3318946096
358	0.3310320247
359	0.3304939915
360	0.3296719249
361	0.3290496759
362	0.3284507639
363	0.3278954817
364	0.3272619702
365	0.3264741648
366	0.3256798318
367	0.3248475172
368	0.3240203435
369	0.3233314662
370	0.3228599261
371	0.3223905844
372	0.3217590346
373	0.3210546669
374	0.3204130383
375	0.3196414672
376	0.3191952933
377	0.3185942167
378	0.3178622845
379	0.3171950867
380	0.3167997804
381	0.3160768447
382	0.315623805
383	0.3147908479
384	0.3141535822
385	0.3137222897
386	0.3131584845
387	0.3124438689
388	0.3119837267
389	0.3114318943
390	0.3112888967
